label,qdcount,ancount,arcount,nscount,qd_qname_len,qd_qname_shannon,qd_qtype,an_rrname_len,an_rrname_shannon,an_type,an_ttl,an_rdata_len,an_rdata_shannon,ar_rrname_len,ar_rrname_shanonn,ar_type,ar_rdata_len,ar_rdata_shannon
1,1.0,0.0,1.0,0.0,24.0,3.6887218755408675,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.6887218755408675,10.0,24.0,3.6887218755408675,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8239348962840567,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.6887218755408675,10.0,24.0,3.6887218755408675,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.740601562950723,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.8239348962840567,10.0,24.0,3.8239348962840567,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8035088547976788,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.740601562950723,10.0,24.0,3.740601562950723,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,126.0,5.970390864447395,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.8035088547976788,10.0,24.0,3.8035088547976788,10.0,0.0,93.0,6.023931424431758,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8035088547976788,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,126.0,5.970390864447395,10.0,126.0,5.970390864447395,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,126.0,5.894916459651148,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.8035088547976788,10.0,24.0,3.8035088547976788,10.0,0.0,93.0,6.126637004908029,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.9701755214643457,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,126.0,5.894916459651148,10.0,126.0,5.894916459651148,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,126.0,5.994632800260832,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.9701755214643457,10.0,24.0,3.9701755214643457,10.0,0.0,93.0,6.118519934992297,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8553885422075345,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,126.0,5.994632800260832,10.0,126.0,5.994632800260832,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,126.0,5.982168193458219,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.8553885422075345,10.0,24.0,3.8553885422075345,10.0,0.0,93.0,6.084700074479105,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.938721875540868,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,126.0,5.982168193458219,10.0,126.0,5.982168193458219,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,126.0,5.946221169545673,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.938721875540868,10.0,24.0,3.938721875540868,10.0,0.0,93.0,6.084700074479104,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8868421881310122,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,126.0,5.946221169545673,10.0,126.0,5.946221169545673,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,126.0,6.033677915646103,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.8868421881310122,10.0,24.0,3.8868421881310122,10.0,0.0,93.0,6.01581435451602,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,4.053508854797679,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,126.0,6.033677915646103,10.0,126.0,6.033677915646103,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,126.0,6.012606312217107,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,4.053508854797679,10.0,24.0,4.053508854797679,10.0,0.0,93.0,6.032048494347494,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.9387218755408675,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,126.0,6.012606312217107,10.0,126.0,6.012606312217107,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,126.0,5.866063507084482,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.9387218755408675,10.0,24.0,3.9387218755408675,10.0,0.0,93.0,6.221849402459359,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.7201755214643457,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,126.0,5.866063507084482,10.0,126.0,5.866063507084482,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,126.0,5.982960776554332,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.7201755214643457,10.0,24.0,3.7201755214643457,10.0,0.0,93.0,6.01054311800341,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.7201755214643457,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,126.0,5.982960776554332,10.0,126.0,5.982960776554332,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8553885422075345,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.7201755214643457,10.0,24.0,3.7201755214643457,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.772055208874201,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
